"","month","na_Opioids_deaths","na_OD_deaths","na_deaths","na_Other_synthetic_narcotics_deaths"
"1",1999-02-01,0.58,0.32,0,1
"2",1999-03-01,0.64,0.32,0,1
"3",1999-04-01,0.54,0.32,0,1
"4",1999-05-01,0.58,0.36,0,1
"5",1999-06-01,0.58,0.38,0,1
"6",1999-07-01,0.58,0.32,0,0.98
"7",1999-08-01,0.6,0.36,0,1
"8",1999-09-01,0.66,0.3,0,1
"9",1999-10-01,0.52,0.3,0,0.96
"10",1999-11-01,0.56,0.38,0,1
"11",1999-12-01,0.5,0.3,0,1
"12",2000-01-01,0.56,0.28,0,1
"13",2000-02-01,0.48,0.28,0,1
"14",2000-03-01,0.5,0.28,0,0.98
"15",2000-04-01,0.52,0.32,0,1
"16",2000-05-01,0.52,0.28,0,1
"17",2000-06-01,0.52,0.28,0,0.96
"18",2000-07-01,0.5,0.32,0,0.98
"19",2000-08-01,0.5,0.28,0,0.98
"20",2000-09-01,0.54,0.26,0,1
"21",2000-10-01,0.58,0.3,0,1
"22",2000-11-01,0.5,0.3,0,0.98
"23",2000-12-01,0.5,0.3,0,0.98
"24",2001-01-01,0.52,0.28,0,1
"25",2001-02-01,0.5,0.26,0,0.98
"26",2001-03-01,0.52,0.24,0,0.98
"27",2001-04-01,0.38,0.2,0,0.96
"28",2001-05-01,0.48,0.2,0,1
"29",2001-06-01,0.44,0.24,0,1
"30",2001-07-01,0.48,0.22,0,0.98
"31",2001-08-01,0.46,0.22,0,0.98
"32",2001-09-01,0.5,0.26,0,0.98
"33",2001-10-01,0.44,0.28,0,0.98
"34",2001-11-01,0.48,0.24,0,0.96
"35",2001-12-01,0.44,0.22,0,0.98
"36",2002-01-01,0.4,0.22,0,0.92
"37",2002-02-01,0.46,0.24,0,0.96
"38",2002-03-01,0.36,0.18,0,0.94
"39",2002-04-01,0.4,0.24,0,0.96
"40",2002-05-01,0.42,0.18,0,0.94
"41",2002-06-01,0.4,0.26,0,0.96
"42",2002-07-01,0.42,0.2,0,0.96
"43",2002-08-01,0.42,0.24,0,0.94
"44",2002-09-01,0.42,0.22,0,0.96
"45",2002-10-01,0.4,0.18,0,0.98
"46",2002-11-01,0.4,0.2,0,0.96
"47",2002-12-01,0.38,0.2,0,0.98
"48",2003-01-01,0.38,0.2,0,0.98
"49",2003-02-01,0.4,0.2,0,0.96
"50",2003-03-01,0.36,0.18,0,0.98
"51",2003-04-01,0.38,0.16,0,0.96
"52",2003-05-01,0.38,0.18,0,0.96
"53",2003-06-01,0.42,0.18,0,0.98
"54",2003-07-01,0.36,0.18,0,0.94
"55",2003-08-01,0.4,0.2,0,0.94
"56",2003-09-01,0.34,0.22,0,0.96
"57",2003-10-01,0.38,0.22,0,0.96
"58",2003-11-01,0.36,0.22,0,0.98
"59",2003-12-01,0.36,0.14,0,0.98
"60",2004-01-01,0.3,0.16,0,0.96
"61",2004-02-01,0.32,0.18,0,0.96
"62",2004-03-01,0.3,0.16,0,0.94
"63",2004-04-01,0.34,0.22,0,0.92
"64",2004-05-01,0.34,0.22,0,0.9
"65",2004-06-01,0.36,0.2,0,0.94
"66",2004-07-01,0.32,0.2,0,0.92
"67",2004-08-01,0.32,0.2,0,0.98
"68",2004-09-01,0.38,0.14,0,0.94
"69",2004-10-01,0.32,0.2,0,0.9
"70",2004-11-01,0.34,0.18,0,0.96
"71",2004-12-01,0.28,0.22,0,0.94
"72",2005-01-01,0.24,0.14,0,0.94
"73",2005-02-01,0.3,0.18,0,0.9
"74",2005-03-01,0.32,0.12,0,0.9
"75",2005-04-01,0.3,0.16,0,0.96
"76",2005-05-01,0.26,0.12,0,0.98
"77",2005-06-01,0.34,0.18,0,0.92
"78",2005-07-01,0.28,0.12,0,0.96
"79",2005-08-01,0.4,0.18,0,0.96
"80",2005-09-01,0.36,0.18,0,0.94
"81",2005-10-01,0.36,0.2,0,0.92
"82",2005-11-01,0.3,0.16,0,0.9
"83",2005-12-01,0.32,0.22,0,0.92
"84",2006-01-01,0.3,0.22,0,0.92
"85",2006-02-01,0.26,0.14,0,0.88
"86",2006-03-01,0.28,0.14,0,0.86
"87",2006-04-01,0.28,0.16,0,0.86
"88",2006-05-01,0.26,0.16,0,0.86
"89",2006-06-01,0.32,0.14,0,0.82
"90",2006-07-01,0.26,0.12,0,0.82
"91",2006-08-01,0.32,0.14,0,0.82
"92",2006-09-01,0.26,0.14,0,0.84
"93",2006-10-01,0.28,0.18,0,0.84
"94",2006-11-01,0.3,0.16,0,0.86
"95",2006-12-01,0.26,0.12,0,0.9
"96",2007-01-01,0.24,0.12,0,0.88
"97",2007-02-01,0.3,0.14,0,0.82
"98",2007-03-01,0.26,0.18,0,0.86
"99",2007-04-01,0.26,0.18,0,0.88
"100",2007-05-01,0.26,0.14,0,0.92
"101",2007-06-01,0.26,0.16,0,0.98
"102",2007-07-01,0.24,0.14,0,0.92
"103",2007-08-01,0.3,0.16,0,0.9
"104",2007-09-01,0.28,0.16,0,0.92
"105",2007-10-01,0.28,0.14,0,0.92
"106",2007-11-01,0.3,0.18,0,0.88
"107",2007-12-01,0.28,0.14,0,0.88
"108",2008-01-01,0.32,0.12,0,0.9
"109",2008-02-01,0.26,0.12,0,0.94
"110",2008-03-01,0.22,0.14,0,0.86
"111",2008-04-01,0.28,0.18,0,0.9
"112",2008-05-01,0.22,0.12,0,0.84
"113",2008-06-01,0.24,0.14,0,0.94
"114",2008-07-01,0.2,0.16,0,0.86
"115",2008-08-01,0.3,0.1,0,0.86
"116",2008-09-01,0.26,0.14,0,0.92
"117",2008-10-01,0.2,0.12,0,0.92
"118",2008-11-01,0.28,0.12,0,0.94
"119",2008-12-01,0.22,0.1,0,0.88
"120",2009-01-01,0.28,0.12,0,0.8
"121",2009-02-01,0.28,0.14,0,0.8
"122",2009-03-01,0.28,0.1,0,0.82
"123",2009-04-01,0.24,0.12,0,0.88
"124",2009-05-01,0.28,0.08,0,0.8
"125",2009-06-01,0.28,0.14,0,0.88
"126",2009-07-01,0.28,0.16,0,0.86
"127",2009-08-01,0.26,0.1,0,0.9
"128",2009-09-01,0.28,0.1,0,0.86
"129",2009-10-01,0.3,0.1,0,0.88
"130",2009-11-01,0.3,0.12,0,0.82
"131",2009-12-01,0.26,0.12,0,0.8
"132",2010-01-01,0.22,0.12,0,0.74
"133",2010-02-01,0.18,0.12,0,0.8
"134",2010-03-01,0.2,0.06,0,0.84
"135",2010-04-01,0.28,0.1,0,0.82
"136",2010-05-01,0.2,0.1,0,0.82
"137",2010-06-01,0.26,0.12,0,0.86
"138",2010-07-01,0.34,0.12,0,0.84
"139",2010-08-01,0.26,0.14,0,0.86
"140",2010-09-01,0.28,0.16,0,0.84
"141",2010-10-01,0.26,0.14,0,0.76
"142",2010-11-01,0.28,0.16,0,0.84
"143",2010-12-01,0.24,0.14,0,0.88
"144",2011-01-01,0.2,0.08,0,0.88
"145",2011-02-01,0.26,0.1,0,0.94
"146",2011-03-01,0.24,0.12,0,0.82
"147",2011-04-01,0.2,0.08,0,0.88
"148",2011-05-01,0.28,0.06,0,0.8
"149",2011-06-01,0.24,0.1,0,0.9
"150",2011-07-01,0.26,0.1,0,0.88
"151",2011-08-01,0.2,0.08,0,0.9
"152",2011-09-01,0.24,0.1,0,0.84
"153",2011-10-01,0.2,0.04,0,0.86
"154",2011-11-01,0.26,0.12,0,0.82
"155",2011-12-01,0.22,0.06,0,0.88
"156",2012-01-01,0.28,0.06,0,0.86
"157",2012-02-01,0.22,0.08,0,0.84
"158",2012-03-01,0.24,0.12,0,0.86
"159",2012-04-01,0.28,0.08,0,0.88
"160",2012-05-01,0.28,0.08,0,0.84
"161",2012-06-01,0.24,0.08,0,0.9
"162",2012-07-01,0.2,0.1,0,0.84
"163",2012-08-01,0.22,0.12,0,0.86
"164",2012-09-01,0.22,0.12,0,0.88
"165",2012-10-01,0.24,0.12,0,0.84
"166",2012-11-01,0.22,0.06,0,0.88
"167",2012-12-01,0.24,0.14,0,0.86
"168",2013-01-01,0.18,0.06,0,0.82
"169",2013-02-01,0.26,0.16,0,0.84
"170",2013-03-01,0.22,0.1,0,0.88
"171",2013-04-01,0.18,0.06,0,0.8
"172",2013-05-01,0.22,0.14,0,0.78
"173",2013-06-01,0.2,0.1,0,0.88
"174",2013-07-01,0.24,0.08,0,0.84
"175",2013-08-01,0.26,0.08,0,0.92
"176",2013-09-01,0.22,0.12,0,0.88
"177",2013-10-01,0.24,0.12,0,0.84
"178",2013-11-01,0.22,0.1,0,0.82
"179",2013-12-01,0.18,0.08,0,0.68
"180",2014-01-01,0.2,0.08,0,0.64
"181",2014-02-01,0.18,0.12,0,0.72
"182",2014-03-01,0.24,0.1,0,0.62
"183",2014-04-01,0.22,0.1,0,0.7
"184",2014-05-01,0.18,0.08,0,0.72
"185",2014-06-01,0.2,0.06,0,0.7
"186",2014-07-01,0.22,0.1,0,0.64
"187",2014-08-01,0.18,0.08,0,0.72
"188",2014-09-01,0.16,0.06,0,0.7
"189",2014-10-01,0.18,0.04,0,0.58
"190",2014-11-01,0.18,0.1,0,0.56
"191",2014-12-01,0.2,0.08,0,0.56
"192",2015-01-01,0.16,0.08,0,0.54
"193",2015-02-01,0.22,0.08,0,0.52
"194",2015-03-01,0.18,0.06,0,0.56
"195",2015-04-01,0.18,0.08,0,0.58
"196",2015-05-01,0.18,0.06,0,0.54
"197",2015-06-01,0.18,0.06,0,0.54
"198",2015-07-01,0.18,0.06,0,0.52
"199",2015-08-01,0.18,0.1,0,0.58
"200",2015-09-01,0.2,0.06,0,0.54
"201",2015-10-01,0.2,0.1,0,0.46
"202",2015-11-01,0.2,0.08,0,0.56
"203",2015-12-01,0.16,0.04,0,0.56
"204",2016-01-01,0.16,0.06,0,0.5
"205",2016-02-01,0.12,0.08,0,0.46
"206",2016-03-01,0.16,0.06,0,0.44
"207",2016-04-01,0.16,0.06,0,0.48
"208",2016-05-01,0.14,0.06,0,0.42
"209",2016-06-01,0.2,0.1,0,0.44
"210",2016-07-01,0.16,0.08,0,0.44
"211",2016-08-01,0.14,0.08,0,0.4
"212",2016-09-01,0.18,0.12,0,0.44
"213",2016-10-01,0.14,0.1,0,0.4
"214",2016-11-01,0.16,0.06,0,0.44
"215",2016-12-01,0.14,0.08,0,0.36
"216",2017-01-01,0.16,0.04,0,0.32
